"species","sex","chromosome","n","p.value","enrichment","chr.pseudo"
"Cbr","female","I",791,1.33724074267666e-23,1.65862384214948,1
"Cbr","female","II",691,1.28174010849407e-06,1.28322931464597,2
"Cbr","female","III",651,2.71060018893912e-10,1.40101898848934,3
"Cbr","female","IV",682,2.09359400809978e-05,1.24448451047115,4
"Cbr","female","V",579,1.88825150184267e-15,0.668951383472532,5
"Cbr","female","X",286,2.2330269583145e-72,0.337269921084406,6
"Cbr","male","I",570,0.0527272717141944,0.901338064074011,1
"Cbr","male","II",621,0.530259477980623,1.03395578824976,2
"Cbr","male","III",491,0.0036959430138697,0.848918414098794,3
"Cbr","male","IV",571,0.0367283503870366,0.894342701104392,4
"Cbr","male","V",810,0.00813472059636756,1.13485620327816,5
"Cbr","male","X",685,0.00119074903506039,1.17993385944757,6
"Cbr","sex-neutral","I",785,5.55229700488999e-14,0.695576589048454,1
"Cbr","sex-neutral","II",839,5.39759877748188e-07,0.785844734708196,2
"Cbr","sex-neutral","III",781,0.00159894355013378,0.853818016996132,3
"Cbr","sex-neutral","IV",907,0.0492408291190558,0.91056835098414,4
"Cbr","sex-neutral","V",1277,3.66335283157336e-06,1.2231619982686,5
"Cbr","sex-neutral","X",1227,1.4534149261952e-34,1.77789613656052,6
"Cni","female","I",477,0.00186190019175153,1.1977577371235,1
"Cni","female","II",462,0.0285305982332069,1.13577821927052,2
"Cni","female","III",420,0.013194464259957,1.16176497820772,3
"Cni","female","IV",447,0.225890525114794,1.07315256289598,4
"Cni","female","V",470,0.00209241308872778,0.841457772350261,5
"Cni","female","X",339,1.42110495139017e-08,0.702664744444033,6
"Cni","male","I",784,0.731224911290019,1.0178659385685,1
"Cni","male","II",805,0.193954345657929,1.06550960235883,2
"Cni","male","III",690,0.777730500442834,0.984467934018797,3
"Cni","male","IV",756,0.212060825687023,0.939934185149787,4
"Cni","male","V",920,0.044761991115442,0.912191665532899,5
"Cni","male","X",838,0.0389033441135559,1.10474439002612,6
"Cni","sex-neutral","I",885,0.00405309547072818,0.871371252326821,1
"Cni","sex-neutral","II",884,0.00257813802636558,0.865245069675525,2
"Cni","sex-neutral","III",813,0.0911777197339187,0.918380548263115,3
"Cni","sex-neutral","IV",957,0.812774924519873,1.01171402413054,4
"Cni","sex-neutral","V",1276,1.03635206170764e-05,1.21147472932748,5
"Cni","sex-neutral","X",1021,0.0144211218582446,1.12255143716705,6
"F1","female","I",1094,6.64841342029225e-60,2.18642429663178,1
"F1","female","II",873,2.44699965676828e-08,1.31199592715352,2
"F1","female","III",932,6.2021913006493e-38,1.90703913429264,3
"F1","female","IV",865,5.04161129875059e-07,1.27723723360691,4
"F1","female","V",719,2.34541483509289e-24,0.619175469792021,5
"F1","female","X",188,5.05070776798698e-217,0.136946530737318,6
"F1","male","I",870,1.85652362142024e-43,0.518139532386145,1
"F1","male","II",1064,1.76691727626836e-06,0.79772936257814,2
"F1","male","III",824,5.49774948865916e-27,0.586563881668959,3
"F1","male","IV",1067,1.14722579950746e-06,0.795019398396072,4
"F1","male","V",1628,1.33253106873076e-15,1.4219165640789,5
"F1","male","X",1723,8.72460614791416e-146,3.7201457746908,6
"F1","sex-neutral","I",182,0.000545142518530998,0.75379754685531,1
"F1","sex-neutral","II",214,0.337747806292256,0.92550077494705,2
"F1","sex-neutral","III",167,0.00381375649177721,0.780244249416236,3
"F1","sex-neutral","IV",228,1,1.00093664619213,4
"F1","sex-neutral","V",319,0.00900695525250237,1.19780344352255,5
"F1","sex-neutral","X",287,4.61668294278174e-05,1.34430903012838,6
