"sex","species_DE","chromosome","n","p.value","enrichment","chr.pseudo"
"male","briggsae sig","I",572,0.435556385311797,1.04282247077746,1
"male","briggsae sig","II",551,0.687064374603568,0.9779354983281,2
"male","briggsae sig","III",519,0.272790536343423,1.06302938651843,3
"male","briggsae sig","IV",574,0.485716648071931,1.03775465737911,4
"male","briggsae sig","V",814,3.37669656076579e-09,1.3309552841945,5
"male","briggsae sig","X",410,1.52484046249347e-18,0.606661913614076,6
"male","nigoni sig","I",476,4.54618552293127e-05,0.796783387357759,1
"male","nigoni sig","II",569,0.37351215486436,1.04966123601935,2
"male","nigoni sig","III",417,1.19437194576903e-05,0.773953520445322,3
"male","nigoni sig","IV",550,0.829484064736051,0.986968203391768,4
"male","nigoni sig","V",627,0.0043324338819017,0.865501498116101,5
"male","nigoni sig","X",761,1.15596926083688e-24,1.68692367440844,6
"male","no sig","I",1098,0.00462942766484961,1.14366106194204,1
"male","no sig","II",1031,0.671413737610241,0.979983982658357,2
"male","no sig","III",987,0.00490094660406696,1.14927404059719,3
"male","no sig","IV",1036,0.70653698466186,0.981459687416147,4
"male","no sig","V",1225,0.00551322237978565,0.886224703823705,5
"male","no sig","X",1027,0.0970807847547978,0.924678849607593,6
"female","briggsae sig","I",860,2.88013438571394e-17,1.51537540505221,1
"female","briggsae sig","II",762,0.000413171186993645,1.19209617661845,2
"female","briggsae sig","III",729,8.24437086228075e-09,1.34811355326876,3
"female","briggsae sig","IV",735,0.0414398587288221,1.10696566134184,4
"female","briggsae sig","V",839,0.403715320145873,0.96155967004896,5
"female","briggsae sig","X",333,1.24057212481273e-86,0.323978326666816,6
"female","nigoni sig","I",583,1.48205191007592e-14,0.67315575605486,1
"female","nigoni sig","II",693,0.0289438670371403,0.895249436620339,2
"female","nigoni sig","III",555,4.72239844498575e-08,0.746874167296317,3
"female","nigoni sig","IV",696,0.0274735353216054,0.895396794519523,4
"female","nigoni sig","V",893,0.349299588821045,0.957197943649278,5
"female","nigoni sig","X",1120,1.18657366272237e-69,2.31655082753126,6
"female","no sig","I",703,0.395945525131364,0.957307232618581,1
"female","no sig","II",696,0.194691675704455,0.936669772679932,2
"female","no sig","III",639,0.753997788469697,0.982255387499734,3
"female","no sig","IV",729,0.861617323846387,1.00968717904853,4
"female","no sig","V",934,0.0735513932844017,1.08496243996749,5
"female","no sig","X",745,0.729214345840185,1.01757518678999,6
