"","dim1","dim2","species","sex"
"Cbr_F1",-0.403481175487999,-2.97249721411099,"Cbr","F"
"Cbr_F2",0.0885505267841487,-2.57682798666382,"Cbr","F"
"Cbr_F3",-0.190684309732101,-3.06852622026039,"Cbr","F"
"Cbr_M1",-3.74357013709634,-1.92628493925216,"Cbr","M"
"Cbr_M2",-4.00230426668102,-1.87352058666856,"Cbr","M"
"Cbr_M3",-3.45032229131257,-2.37569643770143,"Cbr","M"
"HF1_F1",4.75939151764331,-1.5086301711208,"HF1","F"
"HF1_F2",4.69142010490102,-1.60054679382518,"HF1","F"
"HF1_F3",4.66541788421928,-1.59721764743927,"HF1","F"
"HF1_M1",-1.08724930967174,-0.127872458397956,"HF1","M"
"HF1_M2",-0.672915004540608,-0.237586759863085,"HF1","M"
"HF1_M3",-1.05628085240983,-0.155317795000855,"HF1","M"
"Cni_F1",2.42576418095744,3.31318635013671,"Cni","F"
"Cni_F2",1.7256420974833,2.80265435592615,"Cni","F"
"Cni_F3",3.68511091968456,3.03008982040061,"Cni","F"
"Cni_M1",-2.35098775643311,3.79634360481502,"Cni","M"
"Cni_M2",-2.25696915615867,3.70002036215618,"Cni","M"
"Cni_M3",-2.82653297214909,3.37823051686984,"Cni","M"
