"models","samples","expression","upper","lower","species","sex","gene"
"B-F-I","CbrF",1.3177602700218,1.48740786880748,0.986390027640198,"C. briggsae","female","centroid"
"B-F-I","CbrM",-0.31443214281021,0.430225257871122,-1.04974913177247,"C. briggsae","male","centroid"
"B-F-I","CniF",-0.384502227614622,0.2994624498912,-1.10852353114888,"C. nigoni","female","centroid"
"B-F-I","CniM",-0.618825899596968,0.240995607671459,-1.32081543306488,"C. nigoni","male","centroid"
"B-F-N","CbrF",1.28749998088685,1.46135055474132,1.09959166741713,"C. briggsae","female","centroid"
"B-F-N","CbrM",-0.186656712986804,0.465529519798003,-0.759626471482714,"C. briggsae","male","centroid"
"B-F-N","CniF",-0.112625732686702,0.428894859485504,-0.748301924849057,"C. nigoni","female","centroid"
"B-F-N","CniM",-0.988217535213347,-0.63189620910754,-1.24989489761562,"C. nigoni","male","centroid"
"B-M-I","CbrF",-0.0491303702767664,0.370023152439477,-0.48877999981147,"C. briggsae","female","centroid"
"B-M-I","CbrM",0.89898254698117,1.30736894268943,0.538743731061478,"C. briggsae","male","centroid"
"B-M-I","CniF",-1.2714619602574,-0.733142464289412,-1.43664482143499,"C. nigoni","female","centroid"
"B-M-I","CniM",0.421609783552993,1.04316651218112,-0.80801015956263,"C. nigoni","male","centroid"
"B-M-N","CbrF",-0.030448761126954,0.583166957201805,-0.652045609741845,"C. briggsae","female","centroid"
"B-M-N","CbrM",1.18380808414293,1.37156677978807,0.953018098531154,"C. briggsae","male","centroid"
"B-M-N","CniF",-1.07525512326906,-0.8009145557062,-1.32374447494634,"C. nigoni","female","centroid"
"B-M-N","CniM",-0.078104199746908,0.671154279696169,-0.837498260549631,"C. nigoni","male","centroid"
"B-N-N","CbrF",0.855767653845311,1.31574105496185,0.364381370136401,"C. briggsae","female","centroid"
"B-N-N","CbrM",0.742135403781256,1.13773022503689,0.115816472776989,"C. briggsae","male","centroid"
"B-N-N","CniF",-0.885270075741531,-0.328757890675547,-1.38484490612091,"C. nigoni","female","centroid"
"B-N-N","CniM",-0.712632981885036,0.123668976576314,-1.2203382207287,"C. nigoni","male","centroid"
"C-F-N","CbrF",0.871830848845753,1.29829988155355,0.254881671086118,"C. briggsae","female","centroid"
"C-F-N","CbrM",-0.962425884757435,-0.405753471813868,-1.41597829020812,"C. briggsae","male","centroid"
"C-F-N","CniF",0.686889123467111,1.1121036072421,0.147743879282587,"C. nigoni","female","centroid"
"C-F-N","CniM",-0.596294087555429,0.253240309049208,-1.17477280815613,"C. nigoni","male","centroid"
"C-M-N","CbrF",-0.820041023732133,-0.231818209885929,-1.28787250832181,"C. briggsae","female","centroid"
"C-M-N","CbrM",0.916368987616328,1.45082022130807,0.194816944989655,"C. briggsae","male","centroid"
"C-M-N","CniF",-0.704946293287259,-0.126368300182297,-1.08959836956814,"C. nigoni","female","centroid"
"C-M-N","CniM",0.608618329403064,1.30946214169485,-0.399361936630202,"C. nigoni","male","centroid"
"C-N-N","CbrF",-0.0886583110252264,1.22949759445648,-1.29536185760076,"C. briggsae","female","centroid"
"C-N-N","CbrM",-0.0145209098420508,1.35746850735917,-1.30126200715464,"C. briggsae","male","centroid"
"C-N-N","CniF",0.0246940622122244,1.28649727529084,-1.26868973310776,"C. nigoni","female","centroid"
"C-N-N","CniM",0.0784851586550532,1.4146276581785,-1.37732196758179,"C. nigoni","male","centroid"
"N-F-I","CbrF",-0.0328361700557113,0.515997670525686,-0.627693735460751,"C. briggsae","female","centroid"
"N-F-I","CbrM",-0.844023062304959,-0.0981266882969744,-1.38381379538455,"C. briggsae","male","centroid"
"N-F-I","CniF",1.08652428845828,1.42333397017113,0.545572513765871,"C. nigoni","female","centroid"
"N-F-I","CniM",-0.209665056097607,1.07467595268159,-1.27522653561088,"C. nigoni","male","centroid"
"N-F-N","CbrF",-0.130045615761756,0.408888656579745,-0.647647207322521,"C. briggsae","female","centroid"
"N-F-N","CbrM",-1.1500624332649,-0.89975053780889,-1.35030917083656,"C. briggsae","male","centroid"
"N-F-N","CniF",1.12987341889455,1.35342839283789,0.879320507766808,"C. nigoni","female","centroid"
"N-F-N","CniM",0.150234630132108,0.789723244277923,-0.690227117262106,"C. nigoni","male","centroid"
"N-M-I","CbrF",-1.25994947005458,-0.891448463430718,-1.47208147532,"C. briggsae","female","centroid"
"N-M-I","CbrM",0.102336617185567,1.06393073323669,-0.517898826933077,"C. briggsae","male","centroid"
"N-M-I","CniF",0.66892095011111,1.21557792674929,-0.208143148454143,"C. nigoni","female","centroid"
"N-M-I","CniM",0.488691902757899,0.986247373039658,-0.602551058803813,"C. nigoni","male","centroid"
"N-M-N","CbrF",-1.22423329737884,-1.0255467525011,-1.43078213120152,"C. briggsae","female","centroid"
"N-M-N","CbrM",-0.068116212492706,0.612088925395574,-0.57637596184909,"C. briggsae","male","centroid"
"N-M-N","CniF",0.24992912214761,0.788580694736593,-0.439883321071103,"C. nigoni","female","centroid"
"N-M-N","CniM",1.04242038772394,1.32098846875904,0.716920874170071,"C. nigoni","male","centroid"
"N-N-N","CbrF",-0.889729365247069,-0.362798436173958,-1.28309822324735,"C. briggsae","female","centroid"
"N-N-N","CbrM",-0.700843742204372,-0.149149901654395,-1.10376820103207,"C. briggsae","male","centroid"
"N-N-N","CniF",0.848143822758844,1.39484434647275,0.251030362280999,"C. nigoni","female","centroid"
"N-N-N","CniM",0.742429284692597,1.27891391459189,-0.0919253891578994,"C. nigoni","male","centroid"
