"models","models2","counts","key","value","sex"
"conserved female-biased no_interaction","C-F-N",988,"species","conserved","female-biased"
"conserved female-biased no_interaction","C-F-N",988,"sex","female-biased","female-biased"
"conserved female-biased no_interaction","C-F-N",988,"interaction","no_interaction","female-biased"
"nigoni female-biased interaction","N-F-I",99,"species","nigoni","female-biased"
"nigoni female-biased interaction","N-F-I",99,"sex","female-biased","female-biased"
"nigoni female-biased interaction","N-F-I",99,"interaction","interaction","female-biased"
"conserved sex-neutral no_interaction","C-N-N",1787,"species","conserved","sex-neutral"
"conserved sex-neutral no_interaction","C-N-N",1787,"sex","sex-neutral","sex-neutral"
"conserved sex-neutral no_interaction","C-N-N",1787,"interaction","no_interaction","sex-neutral"
"briggsae female-biased interaction","B-F-I",1175,"species","briggsae","female-biased"
"briggsae female-biased interaction","B-F-I",1175,"sex","female-biased","female-biased"
"briggsae female-biased interaction","B-F-I",1175,"interaction","interaction","female-biased"
"nigoni male-biased no_interaction","N-M-N",1056,"species","nigoni","male-biased"
"nigoni male-biased no_interaction","N-M-N",1056,"sex","male-biased","male-biased"
"nigoni male-biased no_interaction","N-M-N",1056,"interaction","no_interaction","male-biased"
"briggsae male-biased no_interaction","B-M-N",439,"species","briggsae","male-biased"
"briggsae male-biased no_interaction","B-M-N",439,"sex","male-biased","male-biased"
"briggsae male-biased no_interaction","B-M-N",439,"interaction","no_interaction","male-biased"
"conserved male-biased no_interaction","C-M-N",953,"species","conserved","male-biased"
"conserved male-biased no_interaction","C-M-N",953,"sex","male-biased","male-biased"
"conserved male-biased no_interaction","C-M-N",953,"interaction","no_interaction","male-biased"
"nigoni sex-neutral no_interaction","N-N-N",1136,"species","nigoni","sex-neutral"
"nigoni sex-neutral no_interaction","N-N-N",1136,"sex","sex-neutral","sex-neutral"
"nigoni sex-neutral no_interaction","N-N-N",1136,"interaction","no_interaction","sex-neutral"
"briggsae female-biased no_interaction","B-F-N",1306,"species","briggsae","female-biased"
"briggsae female-biased no_interaction","B-F-N",1306,"sex","female-biased","female-biased"
"briggsae female-biased no_interaction","B-F-N",1306,"interaction","no_interaction","female-biased"
"briggsae male-biased interaction","B-M-I",957,"species","briggsae","male-biased"
"briggsae male-biased interaction","B-M-I",957,"sex","male-biased","male-biased"
"briggsae male-biased interaction","B-M-I",957,"interaction","interaction","male-biased"
"nigoni female-biased no_interaction","N-F-N",245,"species","nigoni","female-biased"
"nigoni female-biased no_interaction","N-F-N",245,"sex","female-biased","female-biased"
"nigoni female-biased no_interaction","N-F-N",245,"interaction","no_interaction","female-biased"
"nigoni male-biased interaction","N-M-I",1213,"species","nigoni","male-biased"
"nigoni male-biased interaction","N-M-I",1213,"sex","male-biased","male-biased"
"nigoni male-biased interaction","N-M-I",1213,"interaction","interaction","male-biased"
"briggsae sex-neutral no_interaction","B-N-N",890,"species","briggsae","sex-neutral"
"briggsae sex-neutral no_interaction","B-N-N",890,"sex","sex-neutral","sex-neutral"
"briggsae sex-neutral no_interaction","B-N-N",890,"interaction","no_interaction","sex-neutral"
